time DEVICE_CURRENT_L01_RX1 DEVICE_CURRENT_L01_RX2 DEVICE_CURRENT_L01_RX3 DEVICE_CURRENT_L02_TX1 PHASE_B01 PHASE_B02 PHASE_B03 PHASE_B04 PHASE_B05 PHASE_B06 PHASE_B07 PHASE_B08 PHASE_B09 PHASE_B10 PHASE_B11 PHASE_B14
0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
2.4999999999999999e-13 -1.2007286549968030e-06 -1.2007286549968030e-06 -1.1758112094323482e-06 3.9244628425549888e-07 7.1535482179645019e-04 7.1535482179645019e-04 2.0927938914096439e-05 -2.0927938914096439e-05 -5.5345096394853518e-05 5.5345096394853518e-05 1.2014809854553063e-03 6.7678563258514513e-04 1.8213938428672906e-04 1.6020185814833482e-03 1.6020185814833482e-03 3.2369080672544383e-03
4.9999999999999999e-13 -2.8229852011069662e-06 -2.8229852011069662e-06 -2.8288770653710172e-06 1.2601831067026515e-06 3.4727833480171543e-03 3.4727833480171538e-03 4.8543640852943479e-05 -4.8543640852943045e-05 -2.7645008168752754e-04 2.7645008168752710e-04 5.5304037803530744e-03 3.4730829976423495e-03 1.0445642611602063e-03 7.6664672680224000e-03 7.6664672680224000e-03 1.5292191153026279e-02
7.5000000000000004e-13 -4.9010069981408077e-06 -4.9010069981408077e-06 -4.7244012633894565e-06 2.5841644781970900e-06 9.3317573972324999e-03 9.3317573972324982e-03 -7.0073859140241078e-05 7.0073859140242813e-05 -7.5254385804773578e-04 7.5254385804773491e-04 1.3901349928353457e-02 9.8982617844357215e-03 3.3165132101609460e-03 2.0170608838400439e-02 2.0170608838400439e-02 3.9484468463343046e-02
9.9999999999999998e-13 -7.1177780557989939e-06 -7.1177780557989939e-06 -6.3836498308551601e-06 4.1470430486945422e-06 1.8975320785305946e-02 1.8975320785305946e-02 -6.4418490174435270e-04 6.4418490174435617e-04 -1.5069665227158890e-03 1.5069665227158890e-03 2.6288189613976706e-02 2.1225347988821672e-02 7.8056571363437043e-03 3.9920683747895098e-02 3.9920683747895098e-02 7.6288605657212766e-02
1.2499999999999999e-12 -9.5260029005503375e-06 -9.5260029005503375e-06 -7.9988061473903635e-06 5.9773816019009765e-06 3.4314909111156311e-02 3.4314909111156297e-02 -2.3846711698851872e-03 2.3846711698851941e-03 -2.5607676440246533e-03 2.5607676440246568e-03 4.3625011080757066e-02 4.0421030081498673e-02 1.6274040269839984e-02 6.9492235245159920e-02 6.9492235245159920e-02 1.2839934824206797e-01
1.5000000000000001e-12 -1.1724057124713732e-05 -1.1724057124713732e-05 -9.2501209398869379e-06 7.7520827477676338e-06 5.6028151212912956e-02 5.6028151212912942e-02 -6.1084451695552107e-03 6.1084451695552211e-03 -3.6907716920464972e-03 3.6907716920465111e-03 6.5571930800003661e-02 6.8769820423179487e-02 2.9875566466536999e-02 1.0848153691437511e-01 1.0848153691437511e-01 1.9277263171567410e-01
1.7500000000000000e-12 -1.2914458818228823e-05 -1.2914458818228823e-05 -9.5813280161183992e-06 8.7587515802769857e-06 8.1493425375440715e-02 8.1493425375440715e-02 -1.2047365223657711e-02 1.2047365223657727e-02 -4.3643378255647462e-03 4.3643378255647739e-03 8.9323037910399763e-02 1.0285116716196491e-01 4.7427945081170743e-02 1.5054607996229613e-01 1.5054607996229613e-01 2.5739187631577737e-01
2.0000000000000000e-12 -1.3167844818621763e-05 -1.3167844818621763e-05 -9.3786238098307214e-06 8.8335411578235628e-06 1.0721068022978590e-01 1.0721068022978590e-01 -1.9530983508177190e-02 1.9530983508177197e-02 -4.1812353410859487e-03 4.1812353410859773e-03 1.1264145239158876e-01 1.3764666215016913e-01 6.6405024251598513e-02 1.8951030157249366e-01 1.8951030157249366e-01 3.1379869430677504e-01
2.2499999999999999e-12 -1.2995042260004742e-05 -1.2995042260004742e-05 -8.9901747008980168e-06 8.2819320634112923e-06 1.2987193046307083e-01 1.2987193046307086e-01 -2.7021453336115012e-02 2.7021453336115005e-02 -3.1778782481758725e-03 3.1778782481758916e-03 1.3405918387434174e-01 1.6831601450072325e-01 8.3733935761619249e-02 2.2180516212448503e-01 2.2180516212448503e-01 3.6054985469598383e-01
2.4999999999999998e-12 -1.2836681846479659e-05 -1.2836681846479659e-05 -8.5678048115629891e-06 7.6203417818883745e-06 1.4767215688332963e-01 1.4767215688332966e-01 -3.2842178956131632e-02 3.2842178956131618e-02 -1.9038309920906653e-03 1.9038309920906688e-03 1.5274811394489846e-01 1.9222918209407872e-01 9.7125074883103554e-02 2.4780809688343455e-01 2.4780809688343455e-01 4.0231087789432751e-01
2.7499999999999998e-12 -1.2831161138044580e-05 -1.2831161138044580e-05 -8.2846901098529716e-06 7.2741719072989633e-06 1.6109136099372043e-01 1.6109136099372046e-01 -3.6180187600424074e-02 3.6180187600424067e-02 -1.1423196192361564e-03 1.1423196192361443e-03 1.6848403778353768e-01 2.1001905659887909e-01 1.0614155609350390e-01 2.7117132220631029e-01 2.7117132220631029e-01 4.4545589864348523e-01
